ds,yhat,yhat_lower,yhat_upper
2021-12-06,319315.02838581346,251967.8987208945,388951.0172531009
2021-12-07,313650.7027005497,248226.4402075262,381744.38274766126
2021-12-08,308076.3242444013,241300.4676144173,374833.77517801867
2021-12-09,311874.9928989894,236506.78785078877,375593.9574689458
2021-12-10,306504.20285679435,237992.158336722,379093.69749749324
2021-12-11,302559.89389771427,233749.85530836342,368545.3291175661
2021-12-12,307695.6144377747,237415.2496263271,374941.7519223375
2021-12-13,318148.1099001662,248917.93077263073,386837.6172176858
2021-12-14,312067.4991653581,239175.82028120084,380291.9932788772
2021-12-15,306251.0407347128,240242.8418105064,372552.2156939271
2021-12-16,309983.9664848669,244614.86391013736,380501.95338522096
2021-12-17,304719.5805508697,236722.1708410022,376452.3789011318
2021-12-18,301043.58262594405,235110.12321961857,371373.8495652273
2021-12-19,306593.6879557692,237927.61051150976,374698.2031381642
2021-12-20,317585.8415380623,244689.03791815497,384435.2298483528
2021-12-21,312145.1682048945,241065.61165910767,373414.89669013413
2021-12-22,307040.63491864374,236529.17548554036,375379.7553637905
2021-12-23,311526.8743239841,243842.41213343656,383110.3249111875
2021-12-24,307025.3356420875,240621.29031304942,373883.66015638254
2021-12-25,304089.6890830513,233302.58374212618,370668.15672457
2021-12-26,310326.5222853113,243636.47396902414,378399.53523510037
2021-12-27,321922.5928866436,254870.6089969608,387649.93896192993
2021-12-28,316976.74686560506,250519.64659900262,381266.0223523406
2021-12-29,312235.4492720636,247379.40547421452,378188.6020519618
2021-12-30,316935.34989122226,249708.60434779924,383004.2936370007
2021-12-31,312485.02742778935,240638.22545599216,381057.36573817674
2022-01-01,309430.82055321865,243971.88371358,376406.0458089748
2022-01-02,315377.77167683165,247631.9607912146,390642.9178824041
2022-01-03,326516.9404506017,256223.31378702578,396576.5498568958
2022-01-04,320957.19529289554,249995.93337606013,389511.7440787411
2022-01-05,315460.4340172649,246648.86907766236,388243.9852674783
2022-01-06,319283.66608498734,248263.19575754303,385846.9708427345
2022-01-07,313860.1155066533,249422.95743232043,384186.16195820575
2022-01-08,309764.2728858021,238616.37310402427,375842.46999498375
2022-01-09,314631.94687180396,247540.46422287554,380336.2152660053
2022-01-10,324686.5998921743,261912.3981673809,394036.08792755904
2022-01-11,318070.10692957835,254516.05212435714,385937.9958444535
2022-01-12,311576.92054669524,242209.43268117637,387440.54812823224
2022-01-13,314495.10762007773,248696.44297434465,383700.15645132435
2022-01-14,308286.4493019265,235737.61378203362,375496.65812879713
2022-01-15,303550.5640351154,238063.44260094053,367644.2516582464
2022-01-16,307944.1329446977,239685.82074978965,375418.40707778954
2022-01-17,317706.5384272339,247991.53093779302,386760.7814277505
2022-01-18,310990.07675492426,248025.8127286839,378841.07743412425
2022-01-19,304593.7453751968,241325.1991335156,372263.9089916583
2022-01-20,307804.08273764193,244000.3183116837,378822.3074091398
2022-01-21,302075.25904898363,234431.2774325197,368077.6250246437
2022-01-22,297993.3789561598,228069.81939589302,366087.98317361996
2022-01-23,303196.07090418675,236547.2477480875,371465.41790371924
2022-01-24,313898.66378737293,250689.1582787321,386209.489657294
2022-01-25,308225.0961784711,242617.5391374638,376433.3433059564
2022-01-26,302942.53840792965,235711.4197699125,374825.6274996158
2022-01-27,307303.180646195,238537.91710709382,376640.6369231442
2022-01-28,302725.357167151,238136.230882333,374723.422730826
2022-01-29,299758.9368620131,234578.25118278805,368350.8489903742
2022-01-30,306006.02207545616,239223.34367756592,368585.09851869225
2022-01-31,317648.2228034234,247989.34226962645,384758.6339144254
2022-02-01,312778.61828268925,252066.0474075354,381781.7083663318
2022-02-02,308137.3540879325,236412.398265825,372733.3493456327
2022-02-03,312954.29792696267,241553.50575270064,379775.91218270146
2022-02-04,308630.8974084675,237026.7702769518,373472.27564072056
2022-02-05,305706.1468279698,230919.7835757257,369050.1655070481
2022-02-06,311777.6865596902,247611.9127069598,378349.3448141243
2022-02-07,323029.28885093034,258131.01250560905,390478.9549345369
